Symbol,Yahoo_Ticker,Big Sectors,Industry
STAR,STAR.NS,Healthcare,Pharmaceuticals & Biotechnology
STARCEMENT,STARCEMENT.NS,Commodities,Other Construction Materials
STARHEALTH,STARHEALTH.NS,Services,Insurance - Diversified
STARPAPER,STARPAPER.NS,Commodities,"Paper, Forest & Jute Products"
STARTECK,STARTECK.NS,Services,Credit Services
STCINDIA,STCINDIA.NS,Industrials,Industrial Products
STEELCAS,STEELCAS.NS,Commodities,Ferrous Metals
STEELCITY,STEELCITY.NS,Services,Capital Markets
STEELXIND,STEELXIND.NS,Commodities,Ferrous Metals
STEL,STEL.NS,Services,Asset Management
STERTOOLS,STERTOOLS.NS,Industrials,Industrial Manufacturing
STLTECH,STLTECH.NS,Information Technology,IT - Hardware
STOVEKRAFT,STOVEKRAFT.NS,Consumer Discretionary,Consumer Durables
STYLAMIND,STYLAMIND.NS,Consumer Discretionary,Consumer Durables
STYLEBAAZA,STYLEBAAZA.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
STYRENIX,STYRENIX.NS,Commodities,Chemicals & Petrochemicals
SUBEXLTD,SUBEXLTD.NS,Information Technology,IT - Software
SUBROS,SUBROS.NS,Consumer Discretionary,Automobile & Auto Components
SUDARSCHEM,SUDARSCHEM.NS,Commodities,Fertilizers & Agrochemicals
SUKHJITS,SUKHJITS.NS,Commodities,Fertilizers & Agrochemicals
SULA,SULA.NS,Fast Moving consumer goods,Beverages
SUMEETINDS,SUMEETINDS.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SUMICHEM,SUMICHEM.NS,Commodities,Fertilizers & Agrochemicals
SUMIT,SUMIT.NS,Consumer Discretionary,Realty
SUMMITSEC,SUMMITSEC.NS,Services,Capital Markets
SUNCLAY,SUNCLAY.NS,Industrials,Industrial Manufacturing
SUNDARAM,SUNDARAM.NS,Commodities,"Paper, Forest & Jute Products"
SUNDARMFIN,SUNDARMFIN.NS,Services,Credit Services
SUNDARMHLD,SUNDARMHLD.NS,Services,Asset Management
SUNDRMBRAK,SUNDRMBRAK.NS,Consumer Discretionary,Automobile & Auto Components
SUNDRMFAST,SUNDRMFAST.NS,Consumer Discretionary,Automobile & Auto Components
SUNDROP,SUNDROP.NS,Fast Moving consumer goods,Food Products
SUNFLAG,SUNFLAG.NS,Commodities,Ferrous Metals
SUNPHARMA,SUNPHARMA.NS,Healthcare,Pharmaceuticals & Biotechnology
SUNTECK,SUNTECK.NS,Consumer Discretionary,Realty
SUNTV,SUNTV.NS,Telecommunication,Telecom - Equipment & Accessories
SUPERHOUSE,SUPERHOUSE.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SUPERSPIN,SUPERSPIN.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SUPRAJIT,SUPRAJIT.NS,Consumer Discretionary,Automobile & Auto Components
SUPREME,SUPREME.NS,Consumer Discretionary,Realty
SUPREMEIND,SUPREMEIND.NS,Industrials,Construction
SUPREMEINF,SUPREMEINF.NS,Industrials,Construction
SUPRIYA,SUPRIYA.NS,Healthcare,Pharmaceuticals & Biotechnology
SURAJEST,SURAJEST.NS,Consumer Discretionary,Realty
SURAJLTD,SURAJLTD.NS,Commodities,Ferrous Metals
SURAKSHA,SURAKSHA.NS,Healthcare,Pharmaceuticals & Biotechnology
SURANASOL,SURANASOL.NS,Information Technology,IT - Hardware
SURANAT&P,SURANAT&P.NS,Utilities,Utilities
SURYALAXMI,SURYALAXMI.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SURYAROSNI,SURYAROSNI.NS,Commodities,Ferrous Metals
