Company Name,Symbol,SERIES
Bal Pharma Limited,BALPHARMA,EQ
Balrampur Chini Mills Limited,BALRAMCHIN,EQ
Balu Forge Industries Limited,BALUFORGE,EQ
Banaras Beads Limited,BANARBEADS,EQ
Bannari Amman Sugars Limited,BANARISUG,EQ
Banco Products (I) Limited,BANCOINDIA,EQ
Bandhan Bank Limited,BANDHANBNK,EQ
Bang Overseas Limited,BANG,EQ
Banka BioLoo Limited,BANKA,BE
Bank of Baroda,BANKBARODA,EQ
Bank of India,BANKINDIA,EQ
Bansal Wire Industries Limited,BANSALWIRE,EQ
Banswara Syntex Limited,BANSWRAS,EQ
BASF India Limited,BASF,EQ
Bannari Amman Spinning Mills Limited,BASML,EQ
Bata India Limited,BATAINDIA,EQ
Batliboi Limited,BATLIBOI,EQ
Bayer Cropscience Limited,BAYERCROP,EQ
Bharat Bijlee Limited,BBL,EQ
Black Box Limited,BBOX,EQ
The Bombay Burmah Trading Corporation Limited,BBTC,EQ
B&B Triplewall Containers Limited,BBTCL,EQ
Brightcom Group Limited,BCG,BE
Bcl Industries Limited,BCLIND,EQ
Brand Concepts Limited,BCONCEPTS,EQ
BCPL Railway Infrastructure Limited,BCPL,EQ
Bharat Dynamics Limited,BDL,EQ
Beardsell Limited,BEARDSELL,EQ
Mrs. Bectors Food Specialities Limited,BECTORFOOD,EQ
Bedmutha Industries Limited,BEDMUTHA,BE
Beekay Steel Industries Limited,BEEKAY,EQ
Bharat Electronics Limited,BEL,EQ
Bella Casa Fashion & Retail Limited,BELLACASA,EQ
Belrise Industries Limited,BELRISE,EQ
BEML Limited,BEML,EQ
Bengal & Assam Company Limited,BENGALASM,EQ
Bhansali Engineering Polymers Limited,BEPL,EQ
Berger Paints (I) Limited,BERGEPAINT,EQ
Best Agrolife Limited,BESTAGRO,EQ
Beta Drugs Limited,BETA,EQ
BF Investment Limited,BFINVEST,EQ
BF Utilities Limited,BFUTILITIE,EQ
Bharatiya Global Infomedia Limited,BGLOBAL,BZ
BGR Energy Systems Limited,BGRENERGY,BE
